05/04/2022 12:04:24 Connecting to Vehicle on: /dev/ttyACM0
05/04/2022 12:04:24 ArduPlane V4.1.4 (0f984409)
05/04/2022 12:04:24 ChibiOS: 45395b6a
05/04/2022 12:04:24 CubeBlack 00360049 3337510E 37353832
05/04/2022 12:04:24 RCOut: PWM:1-14
05/04/2022 12:04:24 IMU0: fast sampling enabled 8.0kHz/1.0kHz
05/04/2022 12:04:24 IMU2: fast sampling enabled 8.0kHz/1.0kHz
05/04/2022 12:04:34 distance: 39.07201067417198
05/04/2022 12:04:34 is_deepstalled(image_processing): False
05/04/2022 12:04:35 ch7: 0
05/04/2022 12:04:35 is_deepstalled(image_processing): False
05/04/2022 12:04:35 ch7: 0
05/04/2022 12:04:35 is_deepstalled(image_processing): False
05/04/2022 12:04:35 Pilot control
05/04/2022 12:04:35 Pilot control
05/04/2022 12:04:35 distance: 39.15646125150019
05/04/2022 12:04:35 ch7: 0
05/04/2022 12:04:35 is_deepstalled(image_processing): False
05/04/2022 12:04:35 ch7: 0
05/04/2022 12:04:36 is_deepstalled(image_processing): False
05/04/2022 12:04:36 ch7: 0
05/04/2022 12:04:36 is_deepstalled(image_processing): False
05/04/2022 12:04:36 ch7: 0
05/04/2022 12:04:36 is_deepstalled(image_processing): False
05/04/2022 12:04:36 ch7: 0
05/04/2022 12:04:36 is_deepstalled(image_processing): False
05/04/2022 12:04:36 Pilot control
05/04/2022 12:04:36 Pilot control
05/04/2022 12:04:36 distance: 39.17607777218355
05/04/2022 12:04:36 ch7: 0
05/04/2022 12:04:36 is_deepstalled(image_processing): False
05/04/2022 12:04:37 ch7: 0
05/04/2022 12:04:37 is_deepstalled(image_processing): False
05/04/2022 12:04:37 ch7: 0
05/04/2022 12:04:37 is_deepstalled(image_processing): False
05/04/2022 12:04:37 ch7: 0
05/04/2022 12:04:37 is_deepstalled(image_processing): False
05/04/2022 12:04:37 ch7: 0
05/04/2022 12:04:37 is_deepstalled(image_processing): False
05/04/2022 12:04:37 ch7: 0
05/04/2022 12:04:37 is_deepstalled(image_processing): False
05/04/2022 12:04:37 Pilot control
05/04/2022 12:04:37 ch7: 0
05/04/2022 12:04:37 Pilot control
05/04/2022 12:04:37 is_deepstalled(image_processing): False
05/04/2022 12:04:37 distance: 39.17607777218355
05/04/2022 12:04:37 ch7: 0
05/04/2022 12:04:37 is_deepstalled(image_processing): False
05/04/2022 12:04:38 ch7: 0
05/04/2022 12:04:38 is_deepstalled(image_processing): False
05/04/2022 12:04:38 ch7: 0
05/04/2022 12:04:38 is_deepstalled(image_processing): False
05/04/2022 12:04:38 ch7: 0
05/04/2022 12:04:38 is_deepstalled(image_processing): False
05/04/2022 12:04:38 ch7: 0
05/04/2022 12:04:38 is_deepstalled(image_processing): False
05/04/2022 12:04:38 ch7: 0
05/04/2022 12:04:38 is_deepstalled(image_processing): False
05/04/2022 12:04:38 Pilot control
05/04/2022 12:04:38 Pilot control
05/04/2022 12:04:38 distance: 39.186609688571316
05/04/2022 12:04:38 ch7: 0
05/04/2022 12:04:38 is_deepstalled(image_processing): False
05/04/2022 12:04:39 ch7: 0
05/04/2022 12:04:39 is_deepstalled(image_processing): False
05/04/2022 12:04:39 ch7: 0
05/04/2022 12:04:39 is_deepstalled(image_processing): False
05/04/2022 12:04:39 ch7: 0
05/04/2022 12:04:39 is_deepstalled(image_processing): False
05/04/2022 12:04:39 ch7: 0
05/04/2022 12:04:39 is_deepstalled(image_processing): False
05/04/2022 12:04:39 Pilot control
05/04/2022 12:04:39 Pilot control
05/04/2022 12:04:39 distance: 39.16246748208564
05/04/2022 12:04:39 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 ch7: 0
05/04/2022 12:04:40 is_deepstalled(image_processing): False
05/04/2022 12:04:40 Pilot control
05/04/2022 12:04:40 Pilot control
05/04/2022 12:04:40 distance: 39.14814182944783
05/04/2022 12:04:41 ch7: 0
05/04/2022 12:04:41 is_deepstalled(image_processing): False
05/04/2022 12:04:41 ch7: 0
05/04/2022 12:04:41 is_deepstalled(image_processing): False
05/04/2022 12:04:41 ch7: 0
05/04/2022 12:04:41 is_deepstalled(image_processing): False
05/04/2022 12:04:41 ch7: 0
05/04/2022 12:04:41 is_deepstalled(image_processing): False
05/04/2022 12:04:41 ch7: 0
05/04/2022 12:04:41 is_deepstalled(image_processing): False
05/04/2022 12:04:41 ch7: 0
05/04/2022 12:04:41 is_deepstalled(image_processing): False
05/04/2022 12:04:41 ch7: 0
05/04/2022 12:04:41 is_deepstalled(image_processing): False
05/04/2022 12:04:41 Pilot control
05/04/2022 12:04:41 Pilot control
05/04/2022 12:04:41 distance: 39.075055279365365
05/04/2022 12:04:42 ch7: 0
05/04/2022 12:04:42 is_deepstalled(image_processing): False
05/04/2022 12:04:42 ch7: 0
05/04/2022 12:04:42 is_deepstalled(image_processing): False
05/04/2022 12:04:42 ch7: 0
05/04/2022 12:04:42 is_deepstalled(image_processing): False
05/04/2022 12:04:42 ch7: 0
05/04/2022 12:04:42 is_deepstalled(image_processing): False
05/04/2022 12:04:42 ch7: 0
05/04/2022 12:04:42 is_deepstalled(image_processing): False
05/04/2022 12:04:42 ch7: 0
05/04/2022 12:04:42 is_deepstalled(image_processing): False
05/04/2022 12:04:42 Pilot control
05/04/2022 12:04:42 Pilot control
05/04/2022 12:04:43 distance: 39.13091340571141
05/04/2022 12:04:43 ch7: 0
05/04/2022 12:04:43 is_deepstalled(image_processing): False
05/04/2022 12:04:43 ch7: 0
05/04/2022 12:04:43 is_deepstalled(image_processing): False
05/04/2022 12:04:43 ch7: 0
05/04/2022 12:04:43 is_deepstalled(image_processing): False
05/04/2022 12:04:43 ch7: 0
05/04/2022 12:04:43 is_deepstalled(image_processing): False
05/04/2022 12:04:43 ch7: 0
05/04/2022 12:04:43 is_deepstalled(image_processing): False
05/04/2022 12:04:43 ch7: 0
05/04/2022 12:04:43 is_deepstalled(image_processing): False
05/04/2022 12:04:43 ch7: 0
05/04/2022 12:04:43 is_deepstalled(image_processing): False
05/04/2022 12:04:44 Pilot control
05/04/2022 12:04:44 Pilot control
05/04/2022 12:04:44 distance: 39.19045961516303
05/04/2022 12:04:44 ch7: 0
05/04/2022 12:04:44 is_deepstalled(image_processing): False
05/04/2022 12:04:44 ch7: 0
05/04/2022 12:04:44 is_deepstalled(image_processing): False
05/04/2022 12:04:44 ch7: 0
05/04/2022 12:04:44 is_deepstalled(image_processing): False
05/04/2022 12:04:44 ch7: 0
05/04/2022 12:04:44 is_deepstalled(image_processing): False
05/04/2022 12:04:44 ch7: 0
05/04/2022 12:04:44 is_deepstalled(image_processing): False
05/04/2022 12:04:44 ch7: 0
05/04/2022 12:04:44 is_deepstalled(image_processing): False
05/04/2022 12:04:45 Pilot control
05/04/2022 12:04:45 Pilot control
05/04/2022 12:04:45 distance: 39.237396722506276
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:45 ch7: 0
05/04/2022 12:04:45 is_deepstalled(image_processing): False
05/04/2022 12:04:46 Pilot control
05/04/2022 12:04:46 Pilot control
05/04/2022 12:04:46 distance: 39.324414978239105
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:46 ch7: 0
05/04/2022 12:04:46 is_deepstalled(image_processing): False
05/04/2022 12:04:47 ch7: 0
05/04/2022 12:04:47 is_deepstalled(image_processing): False
05/04/2022 12:04:47 Pilot control
05/04/2022 12:04:47 Pilot control
05/04/2022 12:04:47 distance: 39.350189901713414
05/04/2022 12:04:47 ch7: 0
05/04/2022 12:04:47 is_deepstalled(image_processing): False
05/04/2022 12:04:47 ch7: 0
05/04/2022 12:04:47 is_deepstalled(image_processing): False
05/04/2022 12:04:47 ch7: 0
05/04/2022 12:04:47 is_deepstalled(image_processing): False
