29/03/2022 14:20:33 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:20:33 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:20:33 ChibiOS: 45395b6a
29/03/2022 14:20:33 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:20:33 RCOut: PWM:1-12
29/03/2022 14:20:33 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:20:33 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:20:44 Pilot control + Computer
29/03/2022 14:20:44 Pilot control + Computer
29/03/2022 14:20:45 Pilot control + Computer
29/03/2022 14:20:45 Pilot control + Computer
29/03/2022 14:20:45 Pilot control + Computer
29/03/2022 14:20:45 Pilot control + Computer
29/03/2022 14:20:45 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:46 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:47 Pilot control + Computer
29/03/2022 14:20:48 Pilot control + Computer
29/03/2022 14:20:48 Pilot control + Computer
29/03/2022 14:20:48 Pilot control + Computer
29/03/2022 14:20:48 Pilot control + Computer
29/03/2022 14:20:48 Pilot control + Computer
29/03/2022 14:20:48 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:49 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:50 Pilot control + Computer
29/03/2022 14:20:51 Pilot control + Computer
29/03/2022 14:20:51 Pilot control + Computer
29/03/2022 14:20:51 Pilot control + Computer
29/03/2022 14:20:51 Pilot control + Computer
29/03/2022 14:20:51 Pilot control + Computer
29/03/2022 14:20:51 Pilot control + Computer
29/03/2022 14:20:52 Pilot control + Computer
29/03/2022 14:20:52 Pilot control + Computer
29/03/2022 14:20:52 Pilot control + Computer
29/03/2022 14:20:52 Pilot control + Computer
29/03/2022 14:20:53 Pilot control + Computer
29/03/2022 14:20:53 Pilot control + Computer
29/03/2022 14:20:53 Pilot control + Computer
29/03/2022 14:20:53 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:54 Pilot control + Computer
29/03/2022 14:20:55 Pilot control + Computer
29/03/2022 14:20:55 Pilot control + Computer
29/03/2022 14:20:55 Pilot control + Computer
29/03/2022 14:20:55 Pilot control + Computer
29/03/2022 14:20:55 Pilot control + Computer
29/03/2022 14:20:55 Pilot control + Computer
29/03/2022 14:20:55 Pilot control + Computer
29/03/2022 14:20:56 Pilot control + Computer
29/03/2022 14:20:56 Pilot control + Computer
29/03/2022 14:20:56 Pilot control + Computer
29/03/2022 14:20:56 Pilot control + Computer
29/03/2022 14:20:56 Pilot control + Computer
29/03/2022 14:20:56 Pilot control + Computer
29/03/2022 14:20:56 Pilot control + Computer
29/03/2022 14:20:57 Pilot control + Computer
29/03/2022 14:20:57 Pilot control + Computer
29/03/2022 14:20:57 Pilot control + Computer
29/03/2022 14:20:57 Pilot control + Computer
29/03/2022 14:20:57 Pilot control + Computer
29/03/2022 14:20:58 Pilot control + Computer
29/03/2022 14:20:58 Pilot control + Computer
29/03/2022 14:20:58 Pilot control + Computer
29/03/2022 14:20:58 Pilot control + Computer
29/03/2022 14:20:58 Pilot control + Computer
29/03/2022 14:20:58 Pilot control + Computer
29/03/2022 14:20:58 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:20:59 Pilot control + Computer
29/03/2022 14:21:00 Pilot control + Computer
29/03/2022 14:21:00 Pilot control + Computer
29/03/2022 14:21:00 Pilot control + Computer
29/03/2022 14:21:00 Pilot control + Computer
29/03/2022 14:21:00 Pilot control + Computer
29/03/2022 14:21:00 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:01 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:02 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:03 Pilot control + Computer
29/03/2022 14:21:04 Pilot control + Computer
29/03/2022 14:21:04 Pilot control + Computer
29/03/2022 14:21:04 Pilot control + Computer
29/03/2022 14:21:04 Pilot control + Computer
29/03/2022 14:21:04 Pilot control + Computer
29/03/2022 14:21:04 Pilot control + Computer
29/03/2022 14:21:05 Pilot control + Computer
29/03/2022 14:21:05 Pilot control + Computer
29/03/2022 14:21:05 Pilot control + Computer
29/03/2022 14:21:05 Pilot control + Computer
29/03/2022 14:21:05 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:06 Pilot control + Computer
29/03/2022 14:21:07 Pilot control + Computer
29/03/2022 14:21:07 Pilot control + Computer
29/03/2022 14:21:07 Pilot control + Computer
29/03/2022 14:21:07 Pilot control + Computer
29/03/2022 14:21:07 Pilot control + Computer
29/03/2022 14:21:07 Pilot control + Computer
29/03/2022 14:21:07 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:08 Pilot control + Computer
29/03/2022 14:21:09 Pilot control + Computer
29/03/2022 14:21:09 Pilot control + Computer
29/03/2022 14:21:09 Pilot control + Computer
29/03/2022 14:21:09 Pilot control + Computer
29/03/2022 14:21:09 Pilot control + Computer
29/03/2022 14:21:09 Pilot control + Computer
29/03/2022 14:21:09 Pilot control + Computer
29/03/2022 14:21:10 Pilot control + Computer
29/03/2022 14:21:10 Pilot control + Computer
29/03/2022 14:21:10 Pilot control + Computer
29/03/2022 14:21:10 Pilot control + Computer
29/03/2022 14:21:10 Pilot control + Computer
