29/03/2022 14:13:50 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:13:51 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:13:51 ChibiOS: 45395b6a
29/03/2022 14:13:51 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:13:51 RCOut: PWM:1-12
29/03/2022 14:13:51 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:13:51 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:14:02 Pilot control + Computer
29/03/2022 14:14:03 Pilot control + Computer
29/03/2022 14:14:03 Pilot control + Computer
29/03/2022 14:14:03 Pilot control + Computer
29/03/2022 14:14:03 Pilot control + Computer
29/03/2022 14:14:03 Pilot control + Computer
29/03/2022 14:14:04 Pilot control + Computer
29/03/2022 14:14:04 Pilot control + Computer
29/03/2022 14:14:04 Pilot control + Computer
29/03/2022 14:14:04 Pilot control + Computer
29/03/2022 14:14:04 Pilot control + Computer
29/03/2022 14:14:04 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:05 Pilot control + Computer
29/03/2022 14:14:06 Pilot control + Computer
29/03/2022 14:14:06 Pilot control + Computer
29/03/2022 14:14:06 Pilot control + Computer
29/03/2022 14:14:06 Pilot control + Computer
29/03/2022 14:14:06 Pilot control + Computer
29/03/2022 14:14:06 Pilot control + Computer
29/03/2022 14:14:06 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:07 Pilot control + Computer
29/03/2022 14:14:08 Pilot control + Computer
29/03/2022 14:14:08 Pilot control + Computer
29/03/2022 14:14:08 Pilot control + Computer
29/03/2022 14:14:08 Pilot control + Computer
29/03/2022 14:14:08 Pilot control + Computer
29/03/2022 14:14:09 Pilot control + Computer
29/03/2022 14:14:09 Pilot control + Computer
29/03/2022 14:14:09 Pilot control + Computer
29/03/2022 14:14:09 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:10 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:11 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:12 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:13 Pilot control + Computer
29/03/2022 14:14:14 Pilot control + Computer
29/03/2022 14:14:14 Pilot control + Computer
29/03/2022 14:14:14 Pilot control + Computer
29/03/2022 14:14:14 Pilot control + Computer
29/03/2022 14:14:14 Pilot control + Computer
29/03/2022 14:14:15 Pilot control + Computer
29/03/2022 14:14:15 Pilot control + Computer
29/03/2022 14:14:15 Pilot control + Computer
29/03/2022 14:14:15 Pilot control + Computer
29/03/2022 14:14:15 Pilot control + Computer
29/03/2022 14:14:15 Pilot control + Computer
29/03/2022 14:14:15 Pilot control + Computer
29/03/2022 14:14:16 Pilot control + Computer
29/03/2022 14:14:16 Pilot control + Computer
29/03/2022 14:14:16 Pilot control + Computer
29/03/2022 14:14:16 Pilot control + Computer
29/03/2022 14:14:16 Pilot control + Computer
29/03/2022 14:14:16 Pilot control + Computer
29/03/2022 14:14:17 Pilot control + Computer
29/03/2022 14:14:17 Pilot control + Computer
29/03/2022 14:14:17 Pilot control + Computer
29/03/2022 14:14:17 Pilot control + Computer
29/03/2022 14:14:17 Pilot control + Computer
29/03/2022 14:14:17 Pilot control + Computer
29/03/2022 14:14:18 Pilot control + Computer
29/03/2022 14:14:18 Pilot control + Computer
29/03/2022 14:14:18 Pilot control + Computer
29/03/2022 14:14:18 Pilot control + Computer
29/03/2022 14:14:18 Pilot control + Computer
29/03/2022 14:14:18 Pilot control + Computer
29/03/2022 14:14:18 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:19 Pilot control + Computer
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:20 Throttle armed
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:20 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:21 Pilot control + Computer
29/03/2022 14:14:22 Pilot control + Computer
29/03/2022 14:14:22 Pilot control + Computer
29/03/2022 14:14:22 Pilot control + Computer
