29/03/2022 13:30:30 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 13:30:31 ArduPlane V4.1.4 (0f984409)
29/03/2022 13:30:31 ChibiOS: 45395b6a
29/03/2022 13:30:31 CubeBlack 00360049 3337510E 37353832
29/03/2022 13:30:31 RCOut: PWM:1-12
29/03/2022 13:30:31 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 13:30:31 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 13:30:42 Pilot control + Computer
29/03/2022 13:30:43 Pilot control + Computer
29/03/2022 13:30:43 Pilot control + Computer
29/03/2022 13:30:43 Pilot control + Computer
29/03/2022 13:30:43 Pilot control + Computer
29/03/2022 13:30:43 Pilot control + Computer
29/03/2022 13:30:44 Pilot control + Computer
29/03/2022 13:30:44 Pilot control + Computer
29/03/2022 13:30:44 Pilot control + Computer
29/03/2022 13:30:44 Pilot control + Computer
29/03/2022 13:30:44 Pilot control + Computer
29/03/2022 13:30:44 Pilot control + Computer
29/03/2022 13:30:45 Pilot control + Computer
29/03/2022 13:30:45 Pilot control + Computer
29/03/2022 13:30:45 Pilot control + Computer
29/03/2022 13:30:45 Pilot control + Computer
29/03/2022 13:30:45 Pilot control + Computer
29/03/2022 13:30:45 Pilot control + Computer
29/03/2022 13:30:45 Pilot control + Computer
29/03/2022 13:30:46 Pilot control + Computer
29/03/2022 13:30:46 Pilot control + Computer
29/03/2022 13:30:46 Pilot control + Computer
29/03/2022 13:30:46 Pilot control + Computer
29/03/2022 13:30:46 Pilot control + Computer
29/03/2022 13:30:46 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:47 Pilot control + Computer
29/03/2022 13:30:48 Pilot control + Computer
29/03/2022 13:30:48 Pilot control + Computer
29/03/2022 13:30:48 Pilot control + Computer
29/03/2022 13:30:48 Pilot control + Computer
29/03/2022 13:30:48 Pilot control + Computer
29/03/2022 13:30:48 Pilot control + Computer
29/03/2022 13:30:48 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:49 Pilot control + Computer
29/03/2022 13:30:50 Pilot control + Computer
29/03/2022 13:30:50 Pilot control + Computer
29/03/2022 13:30:50 Pilot control + Computer
29/03/2022 13:30:50 Pilot control + Computer
29/03/2022 13:30:50 Pilot control + Computer
29/03/2022 13:30:50 Pilot control + Computer
29/03/2022 13:30:50 Pilot control + Computer
29/03/2022 13:30:51 Pilot control + Computer
29/03/2022 13:30:51 Pilot control + Computer
29/03/2022 13:30:51 Pilot control + Computer
29/03/2022 13:30:51 Pilot control + Computer
29/03/2022 13:30:51 Pilot control + Computer
29/03/2022 13:30:51 Pilot control + Computer
29/03/2022 13:30:51 Pilot control + Computer
