29/03/2022 12:21:39 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 12:21:39 ArduPlane V4.1.4 (0f984409)
29/03/2022 12:21:39 ChibiOS: 45395b6a
29/03/2022 12:21:39 CubeBlack 00360049 3337510E 37353832
29/03/2022 12:21:39 RCOut: PWM:1-12
29/03/2022 12:21:39 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 12:21:39 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 12:21:49 Pilot control
29/03/2022 12:21:50 Pilot control
29/03/2022 12:21:50 Pilot control
29/03/2022 12:21:50 Pilot control
29/03/2022 12:21:50 Pilot control
29/03/2022 12:21:51 Pilot control
29/03/2022 12:21:51 Pilot control
29/03/2022 12:21:51 Pilot control
29/03/2022 12:21:51 Pilot control
29/03/2022 12:21:51 Pilot control
29/03/2022 12:21:51 Pilot control
29/03/2022 12:21:51 Pilot control
29/03/2022 12:21:52 Pilot control
29/03/2022 12:21:52 Pilot control
29/03/2022 12:21:52 Pilot control
29/03/2022 12:21:52 Pilot control
29/03/2022 12:21:52 Pilot control
29/03/2022 12:21:52 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:53 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:54 Pilot control
29/03/2022 12:21:55 Pilot control
29/03/2022 12:21:55 Pilot control
29/03/2022 12:21:55 Pilot control
29/03/2022 12:21:55 Pilot control
29/03/2022 12:21:55 Pilot control
29/03/2022 12:21:55 Pilot control
29/03/2022 12:21:55 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:56 Pilot control
29/03/2022 12:21:57 Pilot control
29/03/2022 12:21:57 Pilot control
29/03/2022 12:21:57 Pilot control
29/03/2022 12:21:57 Pilot control
29/03/2022 12:21:57 Pilot control
29/03/2022 12:21:57 Pilot control
29/03/2022 12:21:57 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:58 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:21:59 Pilot control
29/03/2022 12:22:00 Pilot control
29/03/2022 12:22:00 Pilot control
29/03/2022 12:22:00 Pilot control
29/03/2022 12:22:00 Pilot control
29/03/2022 12:22:00 Pilot control
29/03/2022 12:22:00 Pilot control
29/03/2022 12:22:01 Pilot control
29/03/2022 12:22:01 Pilot control
29/03/2022 12:22:01 Pilot control
29/03/2022 12:22:01 Pilot control
29/03/2022 12:22:02 Pilot control
29/03/2022 12:22:02 Pilot control
29/03/2022 12:22:02 Pilot control
29/03/2022 12:22:02 Pilot control
29/03/2022 12:22:02 Pilot control
29/03/2022 12:22:02 Pilot control
29/03/2022 12:22:03 Pilot control
29/03/2022 12:22:03 Pilot control
29/03/2022 12:22:03 Pilot control
29/03/2022 12:22:03 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:04 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:05 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:06 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:07 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:08 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:09 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:10 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:11 Pilot control
29/03/2022 12:22:12 Pilot control
29/03/2022 12:22:12 Pilot control
29/03/2022 12:22:12 Pilot control
29/03/2022 12:22:12 Pilot control
29/03/2022 12:22:12 Pilot control
29/03/2022 12:22:12 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:13 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:14 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:15 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:16 Pilot control
29/03/2022 12:22:17 Pilot control
29/03/2022 12:22:17 Pilot control
29/03/2022 12:22:17 Pilot control
29/03/2022 12:22:17 Pilot control
29/03/2022 12:22:17 Pilot control
29/03/2022 12:22:17 Pilot control
29/03/2022 12:22:18 Pilot control
29/03/2022 12:22:18 Pilot control
29/03/2022 12:22:18 Pilot control
29/03/2022 12:22:18 Pilot control
29/03/2022 12:22:18 Pilot control
29/03/2022 12:22:19 Pilot control
29/03/2022 12:22:19 Pilot control
29/03/2022 12:22:19 Pilot control
29/03/2022 12:22:19 Pilot control
29/03/2022 12:22:19 Pilot control
29/03/2022 12:22:19 Pilot control
29/03/2022 12:22:20 Pilot control
29/03/2022 12:22:20 Pilot control
29/03/2022 12:22:20 Pilot control
29/03/2022 12:22:20 Pilot control
29/03/2022 12:22:20 Pilot control
29/03/2022 12:22:21 Pilot control
29/03/2022 12:22:21 Pilot control
29/03/2022 12:22:21 Pilot control
29/03/2022 12:22:21 Pilot control
29/03/2022 12:22:21 Pilot control
29/03/2022 12:22:21 Pilot control
29/03/2022 12:22:22 Pilot control
29/03/2022 12:22:22 Pilot control
29/03/2022 12:22:22 Pilot control
29/03/2022 12:22:22 Pilot control
29/03/2022 12:22:22 Pilot control
29/03/2022 12:22:22 Pilot control
29/03/2022 12:22:23 Pilot control
29/03/2022 12:22:23 Pilot control
29/03/2022 12:22:23 Pilot control
29/03/2022 12:22:23 Pilot control
29/03/2022 12:22:24 Pilot control
29/03/2022 12:22:24 Pilot control
29/03/2022 12:22:24 Pilot control
29/03/2022 12:22:24 Pilot control
29/03/2022 12:22:24 Pilot control
29/03/2022 12:22:24 Pilot control
29/03/2022 12:22:24 Pilot control
29/03/2022 12:22:25 Pilot control
29/03/2022 12:22:25 Pilot control
29/03/2022 12:22:25 Pilot control
29/03/2022 12:22:25 Pilot control
29/03/2022 12:22:25 Pilot control
29/03/2022 12:22:26 Pilot control
29/03/2022 12:22:26 Pilot control
29/03/2022 12:22:26 Pilot control
29/03/2022 12:22:26 Pilot control
29/03/2022 12:22:26 Pilot control
29/03/2022 12:22:27 Pilot control
29/03/2022 12:22:27 Pilot control
29/03/2022 12:22:27 Pilot control
29/03/2022 12:22:27 Pilot control
29/03/2022 12:22:27 Pilot control
29/03/2022 12:22:28 Pilot control
29/03/2022 12:22:28 Pilot control
29/03/2022 12:22:28 Pilot control
29/03/2022 12:22:28 Pilot control
29/03/2022 12:22:28 Pilot control
29/03/2022 12:22:28 Pilot control
29/03/2022 12:22:28 Pilot control
29/03/2022 12:22:29 Pilot control
29/03/2022 12:22:29 Pilot control
29/03/2022 12:22:29 Pilot control
29/03/2022 12:22:29 Pilot control
29/03/2022 12:22:29 Pilot control
29/03/2022 12:22:29 Pilot control
29/03/2022 12:22:29 Pilot control
29/03/2022 12:22:30 Pilot control
29/03/2022 12:22:30 Pilot control
29/03/2022 12:22:30 Pilot control
29/03/2022 12:22:30 Pilot control
29/03/2022 12:22:30 Pilot control
29/03/2022 12:22:30 Pilot control
29/03/2022 12:22:31 Pilot control
29/03/2022 12:22:31 Pilot control
29/03/2022 12:22:31 Pilot control
29/03/2022 12:22:31 Pilot control
29/03/2022 12:22:31 Pilot control
29/03/2022 12:22:31 Pilot control
29/03/2022 12:22:32 Pilot control
29/03/2022 12:22:32 Pilot control
29/03/2022 12:22:32 Pilot control
29/03/2022 12:22:32 Pilot control
29/03/2022 12:22:32 Pilot control
29/03/2022 12:22:32 Pilot control
29/03/2022 12:22:33 Pilot control
29/03/2022 12:22:33 Pilot control
29/03/2022 12:22:33 Pilot control
29/03/2022 12:22:33 Pilot control
29/03/2022 12:22:33 Pilot control
29/03/2022 12:22:33 Pilot control
29/03/2022 12:22:34 Pilot control
29/03/2022 12:22:34 Pilot control
29/03/2022 12:22:34 Pilot control
29/03/2022 12:22:34 Pilot control
29/03/2022 12:22:34 Pilot control
29/03/2022 12:22:34 Pilot control
29/03/2022 12:22:34 Pilot control
29/03/2022 12:22:35 Pilot control
29/03/2022 12:22:35 Pilot control
29/03/2022 12:22:35 Pilot control
29/03/2022 12:22:35 Pilot control
29/03/2022 12:22:36 Pilot control
29/03/2022 12:22:36 Pilot control
29/03/2022 12:22:36 Pilot control
29/03/2022 12:22:36 Pilot control
29/03/2022 12:22:36 Pilot control
29/03/2022 12:22:37 Pilot control
29/03/2022 12:22:37 Pilot control
29/03/2022 12:22:37 Throttle armed
29/03/2022 12:22:37 Pilot control
29/03/2022 12:22:37 Pilot control
29/03/2022 12:22:38 Pilot control
29/03/2022 12:22:38 Pilot control
29/03/2022 12:22:38 Pilot control
29/03/2022 12:22:38 Pilot control
29/03/2022 12:22:38 Pilot control
29/03/2022 12:22:39 Pilot control
29/03/2022 12:22:39 Pilot control
29/03/2022 12:22:40 Pilot control
29/03/2022 12:22:40 Pilot control
29/03/2022 12:22:40 Pilot control
29/03/2022 12:22:40 Pilot control
29/03/2022 12:22:40 Pilot control
29/03/2022 12:22:41 Pilot control
29/03/2022 12:22:41 Pilot control
29/03/2022 12:22:41 Pilot control
29/03/2022 12:22:41 Pilot control
29/03/2022 12:22:41 Pilot control
29/03/2022 12:22:42 Pilot control
29/03/2022 12:22:42 Pilot control
29/03/2022 12:22:42 Pilot control
29/03/2022 12:22:42 Pilot control
29/03/2022 12:22:42 Pilot control
29/03/2022 12:22:43 Pilot control
29/03/2022 12:22:43 Pilot control
29/03/2022 12:22:43 Pilot control
29/03/2022 12:22:43 Pilot control
29/03/2022 12:22:43 Pilot control
29/03/2022 12:22:43 Pilot control
29/03/2022 12:22:44 Pilot control
29/03/2022 12:22:44 Pilot control
29/03/2022 12:22:44 Pilot control
29/03/2022 12:22:44 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:45 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:46 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:47 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:48 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:49 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:50 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:51 Pilot control
29/03/2022 12:22:52 Pilot control
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:52 Pilot control + Computer
29/03/2022 12:22:53 Pilot control + Computer
29/03/2022 12:22:53 Pilot control + Computer
29/03/2022 12:22:53 Pilot control + Computer
29/03/2022 12:22:53 Pilot control + Computer
