28/03/2022 16:53:24 Connecting to Vehicle on: /dev/ttyACM0
28/03/2022 16:53:24 ArduPlane V4.1.4 (0f984409)
28/03/2022 16:53:24 ChibiOS: 45395b6a
28/03/2022 16:53:24 CubeBlack 00360049 3337510E 37353832
28/03/2022 16:53:24 RCOut: PWM:1-12
28/03/2022 16:53:24 IMU0: fast sampling enabled 8.0kHz/1.0kHz
28/03/2022 16:53:24 IMU2: fast sampling enabled 8.0kHz/1.0kHz
28/03/2022 16:53:36 Pilot control
28/03/2022 16:53:37 ch7: 965
28/03/2022 16:53:37 Pilot control
28/03/2022 16:53:37 ch7: 965
28/03/2022 16:53:37 Pilot control
28/03/2022 16:53:38 ch7: 965
28/03/2022 16:53:38 Pilot control
28/03/2022 16:53:38 ch7: 965
28/03/2022 16:53:38 Pilot control
28/03/2022 16:53:38 ch7: 965
28/03/2022 16:53:38 Pilot control
28/03/2022 16:53:38 ch7: 965
28/03/2022 16:53:38 Pilot control
28/03/2022 16:53:38 ch7: 965
28/03/2022 16:53:38 Pilot control
28/03/2022 16:53:38 ch7: 965
28/03/2022 16:53:39 Pilot control
28/03/2022 16:53:39 ch7: 965
28/03/2022 16:53:39 Pilot control
28/03/2022 16:53:39 ch7: 965
28/03/2022 16:53:39 Pilot control
28/03/2022 16:53:39 ch7: 965
28/03/2022 16:53:39 Pilot control
28/03/2022 16:53:39 ch7: 965
28/03/2022 16:53:39 Pilot control
28/03/2022 16:53:39 ch7: 965
28/03/2022 16:53:39 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:40 ch7: 965
28/03/2022 16:53:40 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:41 ch7: 965
28/03/2022 16:53:41 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:42 Pilot control
28/03/2022 16:53:42 ch7: 965
28/03/2022 16:53:43 Pilot control
28/03/2022 16:53:43 ch7: 965
28/03/2022 16:53:43 Pilot control
28/03/2022 16:53:43 ch7: 965
28/03/2022 16:53:43 Pilot control
28/03/2022 16:53:43 ch7: 965
28/03/2022 16:53:43 Pilot control
28/03/2022 16:53:43 ch7: 965
28/03/2022 16:53:43 Pilot control
28/03/2022 16:53:43 ch7: 965
28/03/2022 16:53:43 Pilot control
28/03/2022 16:53:43 ch7: 965
28/03/2022 16:53:43 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:44 ch7: 965
28/03/2022 16:53:44 Pilot control
28/03/2022 16:53:45 ch7: 965
28/03/2022 16:53:45 Pilot control
28/03/2022 16:53:45 ch7: 965
28/03/2022 16:53:45 Pilot control
28/03/2022 16:53:45 ch7: 965
28/03/2022 16:53:45 Pilot control
28/03/2022 16:53:45 ch7: 965
28/03/2022 16:53:45 Pilot control
28/03/2022 16:53:45 ch7: 965
28/03/2022 16:53:45 ch7: 965
28/03/2022 16:53:46 ch7: 965
28/03/2022 16:53:46 ch7: 965
28/03/2022 16:53:46 ch7: 965
28/03/2022 16:53:46 ch7: 965
28/03/2022 16:53:46 ch7: 965
28/03/2022 16:53:46 ch7: 965
28/03/2022 16:53:47 ch7: 965
28/03/2022 16:53:47 ch7: 965
28/03/2022 16:53:47 ch7: 965
28/03/2022 16:53:47 ch7: 965
28/03/2022 16:53:47 ch7: 965
28/03/2022 16:53:47 ch7: 965
28/03/2022 16:53:47 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:48 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:49 ch7: 965
28/03/2022 16:53:50 ch7: 965
28/03/2022 16:53:50 ch7: 965
28/03/2022 16:53:50 Check adjust elevator condition
28/03/2022 16:53:50 adjust MAX elevator angle
28/03/2022 16:53:50 ch7: 965
28/03/2022 16:53:50 Check adjust elevator condition
28/03/2022 16:53:50 adjust MAX elevator angle
28/03/2022 16:53:50 ch7: 965
28/03/2022 16:53:50 Check adjust elevator condition
28/03/2022 16:53:50 adjust MAX elevator angle
28/03/2022 16:53:50 ch7: 965
28/03/2022 16:53:51 Check adjust elevator condition
28/03/2022 16:53:51 adjust MAX elevator angle
28/03/2022 16:53:51 ch7: 965
28/03/2022 16:53:51 Check adjust elevator condition
28/03/2022 16:53:51 adjust MAX elevator angle
28/03/2022 16:53:51 ch7: 965
28/03/2022 16:53:51 Check adjust elevator condition
28/03/2022 16:53:51 adjust MAX elevator angle
28/03/2022 16:53:51 ch7: 965
28/03/2022 16:53:51 Check adjust elevator condition
28/03/2022 16:53:51 adjust MAX elevator angle
28/03/2022 16:53:52 ch7: 965
28/03/2022 16:53:52 Check adjust elevator condition
28/03/2022 16:53:52 adjust MAX elevator angle
28/03/2022 16:53:52 ch7: 965
28/03/2022 16:53:52 Check adjust elevator condition
28/03/2022 16:53:52 adjust MAX elevator angle
28/03/2022 16:53:52 ch7: 965
28/03/2022 16:53:53 Check adjust elevator condition
28/03/2022 16:53:53 adjust MAX elevator angle
28/03/2022 16:53:53 ch7: 965
28/03/2022 16:53:53 Check adjust elevator condition
28/03/2022 16:53:53 adjust MAX elevator angle
28/03/2022 16:53:53 ch7: 965
28/03/2022 16:53:53 Check adjust elevator condition
28/03/2022 16:53:53 adjust MAX elevator angle
28/03/2022 16:53:54 ch7: 965
28/03/2022 16:53:54 Check adjust elevator condition
28/03/2022 16:53:54 adjust MAX elevator angle
28/03/2022 16:53:54 ch7: 965
28/03/2022 16:53:54 Check adjust elevator condition
28/03/2022 16:53:54 adjust MAX elevator angle
28/03/2022 16:53:54 ch7: 965
28/03/2022 16:53:54 Check adjust elevator condition
28/03/2022 16:53:54 adjust MAX elevator angle
28/03/2022 16:53:54 ch7: 965
28/03/2022 16:53:55 Check adjust elevator condition
28/03/2022 16:53:55 adjust MAX elevator angle
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:55 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:56 ch7: 965
28/03/2022 16:53:57 ch7: 965
28/03/2022 16:53:57 ch7: 965
28/03/2022 16:53:57 ch7: 965
28/03/2022 16:53:57 ch7: 965
28/03/2022 16:53:57 ch7: 965
28/03/2022 16:53:57 ch7: 965
28/03/2022 16:53:57 ch7: 965
28/03/2022 16:53:58 ch7: 965
28/03/2022 16:53:58 ch7: 965
28/03/2022 16:53:58 ch7: 965
28/03/2022 16:53:58 ch7: 965
28/03/2022 16:53:58 ch7: 965
28/03/2022 16:53:59 ch7: 965
28/03/2022 16:53:59 ch7: 965
28/03/2022 16:53:59 ch7: 965
28/03/2022 16:53:59 ch7: 965
28/03/2022 16:53:59 ch7: 965
28/03/2022 16:53:59 ch7: 965
28/03/2022 16:54:00 ch7: 965
28/03/2022 16:54:00 ch7: 965
28/03/2022 16:54:00 ch7: 965
28/03/2022 16:54:00 ch7: 965
28/03/2022 16:54:00 ch7: 965
28/03/2022 16:54:00 ch7: 965
28/03/2022 16:54:01 ch7: 965
28/03/2022 16:54:01 ch7: 965
28/03/2022 16:54:01 Check adjust elevator condition
28/03/2022 16:54:01 adjust MAX elevator angle
28/03/2022 16:54:01 ch7: 965
28/03/2022 16:54:01 Check adjust elevator condition
28/03/2022 16:54:01 adjust MAX elevator angle
28/03/2022 16:54:01 ch7: 965
28/03/2022 16:54:01 Check adjust elevator condition
28/03/2022 16:54:01 adjust MAX elevator angle
28/03/2022 16:54:02 ch7: 965
28/03/2022 16:54:02 Check adjust elevator condition
28/03/2022 16:54:02 adjust MAX elevator angle
28/03/2022 16:54:02 ch7: 965
28/03/2022 16:54:02 Check adjust elevator condition
28/03/2022 16:54:02 adjust MAX elevator angle
28/03/2022 16:54:02 ch7: 965
28/03/2022 16:54:02 Check adjust elevator condition
28/03/2022 16:54:02 adjust MAX elevator angle
28/03/2022 16:54:02 ch7: 965
28/03/2022 16:54:02 Check adjust elevator condition
28/03/2022 16:54:02 adjust MAX elevator angle
28/03/2022 16:54:03 ch7: 965
