29/03/2022 13:36:26 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 13:36:27 ArduPlane V4.1.4 (0f984409)
29/03/2022 13:36:27 ChibiOS: 45395b6a
29/03/2022 13:36:27 CubeBlack 00360049 3337510E 37353832
29/03/2022 13:36:27 RCOut: PWM:1-12
29/03/2022 13:36:27 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 13:36:27 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 13:36:37 Pilot control + Computer
29/03/2022 13:36:38 Pilot control + Computer
29/03/2022 13:36:38 Pilot control + Computer
29/03/2022 13:36:38 Pilot control + Computer
29/03/2022 13:36:38 Pilot control + Computer
29/03/2022 13:36:39 Pilot control + Computer
29/03/2022 13:36:39 Pilot control + Computer
29/03/2022 13:36:39 Pilot control + Computer
29/03/2022 13:36:39 Pilot control + Computer
29/03/2022 13:36:39 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:40 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:41 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:42 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:43 Pilot control + Computer
29/03/2022 13:36:44 Pilot control + Computer
29/03/2022 13:36:44 Pilot control + Computer
29/03/2022 13:36:44 Pilot control + Computer
29/03/2022 13:36:44 Pilot control + Computer
29/03/2022 13:36:44 Pilot control + Computer
29/03/2022 13:36:44 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:45 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:46 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:47 Pilot control + Computer
29/03/2022 13:36:48 Pilot control + Computer
29/03/2022 13:36:48 Pilot control + Computer
29/03/2022 13:36:48 Pilot control + Computer
29/03/2022 13:36:48 Pilot control + Computer
29/03/2022 13:36:48 Pilot control + Computer
29/03/2022 13:36:48 Pilot control + Computer
29/03/2022 13:36:48 Pilot control + Computer
29/03/2022 13:36:49 Pilot control + Computer
29/03/2022 13:36:49 Pilot control + Computer
29/03/2022 13:36:49 Pilot control + Computer
29/03/2022 13:36:49 Pilot control + Computer
29/03/2022 13:36:49 Pilot control + Computer
29/03/2022 13:36:49 Pilot control + Computer
29/03/2022 13:36:50 Pilot control + Computer
29/03/2022 13:36:50 Pilot control + Computer
29/03/2022 13:36:50 Pilot control + Computer
29/03/2022 13:36:50 Pilot control + Computer
29/03/2022 13:36:50 Pilot control + Computer
29/03/2022 13:36:51 Pilot control + Computer
29/03/2022 13:36:51 Pilot control + Computer
29/03/2022 13:36:51 Pilot control + Computer
29/03/2022 13:36:51 Pilot control + Computer
29/03/2022 13:36:51 Pilot control + Computer
29/03/2022 13:36:52 Pilot control + Computer
29/03/2022 13:36:52 Pilot control + Computer
29/03/2022 13:36:52 Pilot control + Computer
29/03/2022 13:36:52 Pilot control + Computer
29/03/2022 13:36:52 Pilot control + Computer
29/03/2022 13:36:53 Pilot control + Computer
29/03/2022 13:36:53 Pilot control + Computer
29/03/2022 13:36:53 Pilot control + Computer
29/03/2022 13:36:53 Pilot control + Computer
29/03/2022 13:36:53 Pilot control + Computer
29/03/2022 13:36:53 Pilot control + Computer
29/03/2022 13:36:53 Pilot control + Computer
29/03/2022 13:36:54 Pilot control + Computer
29/03/2022 13:36:54 Pilot control + Computer
29/03/2022 13:36:54 Pilot control + Computer
29/03/2022 13:36:54 Pilot control + Computer
29/03/2022 13:36:54 Pilot control + Computer
29/03/2022 13:36:55 Pilot control + Computer
29/03/2022 13:36:55 Pilot control + Computer
29/03/2022 13:36:55 Pilot control + Computer
29/03/2022 13:36:55 Pilot control + Computer
29/03/2022 13:36:55 Pilot control + Computer
29/03/2022 13:36:55 Pilot control + Computer
29/03/2022 13:36:55 Throttle armed
29/03/2022 13:36:55 Pilot control + Computer
29/03/2022 13:36:56 Pilot control + Computer
29/03/2022 13:36:56 Pilot control + Computer
29/03/2022 13:36:56 Pilot control + Computer
29/03/2022 13:36:56 Pilot control + Computer
29/03/2022 13:36:56 Pilot control + Computer
29/03/2022 13:36:56 Pilot control + Computer
29/03/2022 13:36:56 Pilot control + Computer
29/03/2022 13:36:57 Pilot control + Computer
29/03/2022 13:36:57 Pilot control + Computer
29/03/2022 13:36:57 Pilot control + Computer
29/03/2022 13:36:58 Pilot control + Computer
29/03/2022 13:36:58 Pilot control + Computer
29/03/2022 13:36:58 Pilot control + Computer
29/03/2022 13:36:58 Pilot control + Computer
29/03/2022 13:36:59 Pilot control + Computer
29/03/2022 13:36:59 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:00 Pilot control + Computer
29/03/2022 13:37:01 Pilot control + Computer
29/03/2022 13:37:01 Pilot control + Computer
29/03/2022 13:37:01 Pilot control + Computer
29/03/2022 13:37:01 Pilot control + Computer
29/03/2022 13:37:02 Pilot control + Computer
29/03/2022 13:37:02 Pilot control + Computer
29/03/2022 13:37:02 Pilot control + Computer
29/03/2022 13:37:02 Pilot control + Computer
29/03/2022 13:37:02 Pilot control + Computer
29/03/2022 13:37:02 Pilot control + Computer
29/03/2022 13:37:03 Pilot control + Computer
29/03/2022 13:37:03 Pilot control + Computer
29/03/2022 13:37:03 Pilot control + Computer
29/03/2022 13:37:03 Pilot control + Computer
29/03/2022 13:37:03 Pilot control + Computer
29/03/2022 13:37:04 Pilot control + Computer
29/03/2022 13:37:04 Pilot control + Computer
29/03/2022 13:37:04 Pilot control + Computer
29/03/2022 13:37:04 Pilot control + Computer
29/03/2022 13:37:04 Pilot control + Computer
29/03/2022 13:37:04 Pilot control + Computer
29/03/2022 13:37:04 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:05 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:06 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:07 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:08 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:09 Pilot control + Computer
29/03/2022 13:37:10 Pilot control + Computer
29/03/2022 13:37:10 Pilot control + Computer
29/03/2022 13:37:10 Pilot control + Computer
29/03/2022 13:37:10 Pilot control + Computer
29/03/2022 13:37:10 Pilot control + Computer
29/03/2022 13:37:11 Pilot control + Computer
29/03/2022 13:37:11 Pilot control + Computer
29/03/2022 13:37:11 Pilot control + Computer
29/03/2022 13:37:12 Pilot control + Computer
29/03/2022 13:37:12 Pilot control + Computer
29/03/2022 13:37:12 Pilot control + Computer
29/03/2022 13:37:12 Pilot control + Computer
29/03/2022 13:37:12 Pilot control + Computer
29/03/2022 13:37:12 Pilot control + Computer
29/03/2022 13:37:12 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:13 Pilot control + Computer
29/03/2022 13:37:14 Pilot control + Computer
29/03/2022 13:37:14 Pilot control + Computer
29/03/2022 13:37:14 Pilot control + Computer
29/03/2022 13:37:14 Pilot control + Computer
29/03/2022 13:37:14 Pilot control + Computer
29/03/2022 13:37:15 Pilot control + Computer
29/03/2022 13:37:15 Pilot control + Computer
29/03/2022 13:37:15 Pilot control + Computer
29/03/2022 13:37:15 Pilot control + Computer
29/03/2022 13:37:15 Pilot control + Computer
29/03/2022 13:37:16 Pilot control + Computer
29/03/2022 13:37:16 Pilot control + Computer
29/03/2022 13:37:16 Pilot control + Computer
29/03/2022 13:37:16 Pilot control + Computer
29/03/2022 13:37:17 Pilot control + Computer
29/03/2022 13:37:17 Pilot control + Computer
29/03/2022 13:37:17 Pilot control + Computer
29/03/2022 13:37:18 Pilot control + Computer
29/03/2022 13:37:18 Pilot control + Computer
29/03/2022 13:37:18 Pilot control + Computer
29/03/2022 13:37:18 Pilot control + Computer
29/03/2022 13:37:18 Pilot control + Computer
29/03/2022 13:37:18 Pilot control + Computer
29/03/2022 13:37:19 Pilot control + Computer
29/03/2022 13:37:19 Pilot control + Computer
29/03/2022 13:37:20 Pilot control + Computer
29/03/2022 13:37:20 Pilot control + Computer
29/03/2022 13:37:20 Pilot control + Computer
29/03/2022 13:37:20 Pilot control + Computer
29/03/2022 13:37:20 Pilot control + Computer
29/03/2022 13:37:20 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:21 Pilot control + Computer
29/03/2022 13:37:22 Pilot control + Computer
29/03/2022 13:37:22 Pilot control + Computer
29/03/2022 13:37:22 Pilot control + Computer
29/03/2022 13:37:22 Pilot control + Computer
29/03/2022 13:37:22 Pilot control + Computer
29/03/2022 13:37:23 Pilot control + Computer
29/03/2022 13:37:23 Pilot control + Computer
29/03/2022 13:37:23 Pilot control + Computer
29/03/2022 13:37:23 Pilot control + Computer
29/03/2022 13:37:23 Pilot control + Computer
29/03/2022 13:37:24 Pilot control + Computer
29/03/2022 13:37:24 Pilot control + Computer
29/03/2022 13:37:24 Pilot control + Computer
29/03/2022 13:37:24 Pilot control + Computer
29/03/2022 13:37:24 Pilot control + Computer
29/03/2022 13:37:25 Pilot control + Computer
29/03/2022 13:37:25 Pilot control + Computer
29/03/2022 13:37:25 Pilot control + Computer
29/03/2022 13:37:25 Pilot control + Computer
29/03/2022 13:37:25 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:26 Pilot control + Computer
29/03/2022 13:37:27 Pilot control + Computer
29/03/2022 13:37:27 Pilot control + Computer
29/03/2022 13:37:27 Pilot control + Computer
29/03/2022 13:37:27 Pilot control + Computer
29/03/2022 13:37:27 Pilot control + Computer
29/03/2022 13:37:27 Pilot control + Computer
29/03/2022 13:37:27 Pilot control + Computer
29/03/2022 13:37:28 Pilot control + Computer
29/03/2022 13:37:28 Pilot control + Computer
29/03/2022 13:37:28 Pilot control + Computer
29/03/2022 13:37:28 Pilot control + Computer
29/03/2022 13:37:28 Pilot control + Computer
29/03/2022 13:37:29 Pilot control + Computer
29/03/2022 13:37:29 Pilot control + Computer
29/03/2022 13:37:29 Pilot control + Computer
29/03/2022 13:37:29 Pilot control + Computer
29/03/2022 13:37:29 Pilot control + Computer
29/03/2022 13:37:29 Pilot control + Computer
29/03/2022 13:37:30 Pilot control + Computer
29/03/2022 13:37:30 Pilot control + Computer
29/03/2022 13:37:30 Pilot control + Computer
29/03/2022 13:37:30 Pilot control + Computer
29/03/2022 13:37:30 Pilot control + Computer
29/03/2022 13:37:30 Pilot control + Computer
29/03/2022 13:37:31 Pilot control + Computer
29/03/2022 13:37:31 Pilot control + Computer
29/03/2022 13:37:31 Pilot control + Computer
29/03/2022 13:37:31 Pilot control + Computer
29/03/2022 13:37:31 Pilot control + Computer
29/03/2022 13:37:31 Pilot control + Computer
29/03/2022 13:37:32 Pilot control + Computer
29/03/2022 13:37:32 Pilot control + Computer
29/03/2022 13:37:32 Pilot control + Computer
29/03/2022 13:37:32 Pilot control + Computer
29/03/2022 13:37:32 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:33 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:34 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:35 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:36 Pilot control + Computer
29/03/2022 13:37:37 Pilot control + Computer
29/03/2022 13:37:37 Pilot control + Computer
29/03/2022 13:37:37 Pilot control + Computer
29/03/2022 13:37:37 Pilot control + Computer
29/03/2022 13:37:37 Pilot control + Computer
29/03/2022 13:37:37 Pilot control + Computer
29/03/2022 13:37:37 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:38 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:39 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:40 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:41 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:42 Pilot control + Computer
29/03/2022 13:37:43 Pilot control + Computer
29/03/2022 13:37:43 Pilot control + Computer
29/03/2022 13:37:43 Pilot control + Computer
29/03/2022 13:37:43 Pilot control + Computer
29/03/2022 13:37:43 Pilot control + Computer
29/03/2022 13:37:43 Pilot control + Computer
29/03/2022 13:37:43 Pilot control + Computer
