05/04/2022 12:06:17 distance: 26.99162059518934
05/04/2022 12:06:18 Pilot control
05/04/2022 12:06:18 Pilot control
05/04/2022 12:06:18 distance: 26.41377170337507
05/04/2022 12:06:19 Pilot control
05/04/2022 12:06:19 Pilot control
05/04/2022 12:06:19 distance: 24.38213705526012
05/04/2022 12:06:20 Pilot control
05/04/2022 12:06:20 Pilot control
05/04/2022 12:06:20 distance: 23.873444596613645
05/04/2022 12:06:21 Pilot control
05/04/2022 12:06:21 Pilot control
05/04/2022 12:06:21 distance: 23.111292842341314
05/04/2022 12:06:22 Pilot control
05/04/2022 12:06:22 Pilot control
05/04/2022 12:06:22 distance: 23.172701463500132
05/04/2022 12:06:23 Pilot control
05/04/2022 12:06:23 Pilot control
05/04/2022 12:06:23 distance: 23.30707087624923
05/04/2022 12:06:24 Pilot control
05/04/2022 12:06:24 Pilot control
05/04/2022 12:06:24 distance: 23.9560495109471
05/04/2022 12:06:25 Pilot control
05/04/2022 12:06:25 Pilot control
05/04/2022 12:06:25 distance: 24.56969652049766
05/04/2022 12:06:26 Pilot control
05/04/2022 12:06:26 Pilot control
05/04/2022 12:06:26 distance: 25.048747704423786
05/04/2022 12:06:27 Pilot control
05/04/2022 12:06:27 Pilot control
05/04/2022 12:06:27 distance: 25.31318291897003
05/04/2022 12:06:28 Pilot control
05/04/2022 12:06:28 Pilot control
05/04/2022 12:06:28 distance: 25.380284514401986
05/04/2022 12:06:29 Pilot control
05/04/2022 12:06:29 Pilot control
05/04/2022 12:06:29 distance: 25.382664641386036
05/04/2022 12:06:30 Pilot control
05/04/2022 12:06:30 Pilot control
05/04/2022 12:06:30 distance: 25.329599500101786
05/04/2022 12:06:31 Pilot control
05/04/2022 12:06:31 Pilot control
05/04/2022 12:06:31 distance: 25.33202352544279
05/04/2022 12:06:32 Pilot control
05/04/2022 12:06:32 Pilot control
05/04/2022 12:06:32 distance: 25.392426933778204
05/04/2022 12:06:33 Pilot control
05/04/2022 12:06:33 Pilot control
05/04/2022 12:06:33 distance: 25.490541836376092
05/04/2022 12:06:34 Pilot control
05/04/2022 12:06:34 Pilot control
05/04/2022 12:06:34 distance: 25.628819432366193
05/04/2022 12:06:35 Pilot control
05/04/2022 12:06:35 Pilot control
05/04/2022 12:06:35 distance: 25.75774712682341
05/04/2022 12:06:36 Pilot control
05/04/2022 12:06:36 Pilot control
05/04/2022 12:06:36 distance: 25.89690681435197
05/04/2022 12:06:37 Pilot control
05/04/2022 12:06:37 Pilot control
05/04/2022 12:06:37 distance: 26.013116370651257
05/04/2022 12:06:38 Pilot control
05/04/2022 12:06:38 Pilot control
05/04/2022 12:06:38 distance: 26.098685249106627
05/04/2022 12:06:39 Pilot control
05/04/2022 12:06:39 Pilot control
05/04/2022 12:06:39 distance: 26.22448563620995
05/04/2022 12:06:40 Pilot control
05/04/2022 12:06:40 Pilot control
05/04/2022 12:06:40 distance: 26.199192726819998
05/04/2022 12:06:41 Pilot control
05/04/2022 12:06:41 Pilot control
05/04/2022 12:06:41 distance: 25.39233908918665
05/04/2022 12:06:42 Pilot control
05/04/2022 12:06:42 Pilot control
05/04/2022 12:06:42 distance: 24.897581104518178
05/04/2022 12:06:43 Pilot control
05/04/2022 12:06:43 Pilot control
05/04/2022 12:06:43 distance: 24.850965779109135
05/04/2022 12:06:44 Pilot control
05/04/2022 12:06:44 Pilot control
05/04/2022 12:06:44 distance: 25.002233312751635
05/04/2022 12:06:45 Pilot control
05/04/2022 12:06:45 Pilot control
05/04/2022 12:06:45 distance: 25.413230056423284
05/04/2022 12:06:46 Pilot control
05/04/2022 12:06:46 Pilot control
05/04/2022 12:06:46 distance: 25.557912346548456
05/04/2022 12:06:47 Pilot control
05/04/2022 12:06:47 Pilot control
05/04/2022 12:06:47 distance: 25.730964845381845
05/04/2022 12:06:48 Pilot control
05/04/2022 12:06:48 Pilot control
05/04/2022 12:06:48 distance: 25.79562988496916
05/04/2022 12:06:49 Pilot control
05/04/2022 12:06:49 Pilot control
05/04/2022 12:06:49 distance: 25.872809603124775
05/04/2022 12:06:50 Pilot control
05/04/2022 12:06:50 Pilot control
05/04/2022 12:06:50 distance: 25.968520289206054
05/04/2022 12:06:52 Pilot control
05/04/2022 12:06:52 Pilot control
