29/03/2022 14:11:09 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:11:09 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:11:09 ChibiOS: 45395b6a
29/03/2022 14:11:09 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:11:09 RCOut: PWM:1-12
29/03/2022 14:11:09 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:11:09 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:11:21 Pilot control + Computer
29/03/2022 14:11:21 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:22 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:23 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:24 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:25 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:26 Pilot control + Computer
29/03/2022 14:11:27 Pilot control + Computer
29/03/2022 14:11:27 Pilot control + Computer
29/03/2022 14:11:27 Pilot control + Computer
29/03/2022 14:11:27 Pilot control + Computer
29/03/2022 14:11:27 Pilot control + Computer
29/03/2022 14:11:27 Pilot control + Computer
29/03/2022 14:11:27 Pilot control + Computer
