29/03/2022 14:04:36 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:04:36 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:04:36 ChibiOS: 45395b6a
29/03/2022 14:04:36 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:05:08 Pilot control + Computer
29/03/2022 14:05:08 Pilot control + Computer
29/03/2022 14:05:08 Pilot control + Computer
29/03/2022 14:05:08 Pilot control + Computer
29/03/2022 14:05:08 Pilot control + Computer
29/03/2022 14:05:08 Pilot control + Computer
29/03/2022 14:05:08 Pilot control + Computer
29/03/2022 14:05:09 Pilot control + Computer
29/03/2022 14:05:09 Pilot control + Computer
29/03/2022 14:05:09 Pilot control + Computer
29/03/2022 14:05:09 Pilot control + Computer
29/03/2022 14:05:09 Pilot control + Computer
29/03/2022 14:05:09 Pilot control + Computer
29/03/2022 14:05:09 Pilot control + Computer
29/03/2022 14:05:10 Pilot control + Computer
29/03/2022 14:05:10 Pilot control + Computer
29/03/2022 14:05:10 Pilot control + Computer
29/03/2022 14:05:10 Pilot control + Computer
29/03/2022 14:05:10 Pilot control + Computer
29/03/2022 14:05:11 Pilot control + Computer
29/03/2022 14:05:11 Pilot control + Computer
29/03/2022 14:05:11 Pilot control + Computer
29/03/2022 14:05:11 Pilot control + Computer
29/03/2022 14:05:11 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:12 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:13 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:14 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:15 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:16 Pilot control + Computer
29/03/2022 14:05:17 Pilot control + Computer
29/03/2022 14:05:17 Pilot control + Computer
29/03/2022 14:05:17 Pilot control + Computer
29/03/2022 14:05:17 Pilot control + Computer
29/03/2022 14:05:17 Pilot control + Computer
29/03/2022 14:05:18 Pilot control + Computer
29/03/2022 14:05:18 Pilot control + Computer
29/03/2022 14:05:18 Pilot control + Computer
