29/03/2022 13:26:27 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 13:26:29 ArduPlane V4.1.4 (0f984409)
29/03/2022 13:26:29 ChibiOS: 45395b6a
29/03/2022 13:26:29 CubeBlack 00360049 3337510E 37353832
29/03/2022 13:26:29 RCOut: PWM:1-12
29/03/2022 13:26:29 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 13:26:29 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 13:26:40 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:41 Pilot control + Computer
29/03/2022 13:26:42 Pilot control + Computer
29/03/2022 13:26:42 Pilot control + Computer
29/03/2022 13:26:42 Pilot control + Computer
29/03/2022 13:26:42 Pilot control + Computer
29/03/2022 13:26:42 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:43 Pilot control + Computer
29/03/2022 13:26:44 Pilot control + Computer
29/03/2022 13:26:44 Pilot control + Computer
29/03/2022 13:26:44 Pilot control + Computer
29/03/2022 13:26:44 Pilot control + Computer
29/03/2022 13:26:44 Pilot control + Computer
29/03/2022 13:26:45 Pilot control + Computer
29/03/2022 13:26:45 Pilot control + Computer
29/03/2022 13:26:45 Pilot control + Computer
29/03/2022 13:26:45 Pilot control + Computer
29/03/2022 13:26:45 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:46 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:47 Pilot control + Computer
29/03/2022 13:26:48 Pilot control + Computer
29/03/2022 13:26:48 Pilot control + Computer
29/03/2022 13:26:48 Pilot control + Computer
29/03/2022 13:26:48 Pilot control + Computer
29/03/2022 13:26:48 Pilot control + Computer
29/03/2022 13:26:48 Pilot control + Computer
29/03/2022 13:26:48 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:49 Pilot control + Computer
29/03/2022 13:26:50 Pilot control + Computer
29/03/2022 13:26:50 Pilot control + Computer
29/03/2022 13:26:50 Pilot control + Computer
29/03/2022 13:26:50 Pilot control + Computer
29/03/2022 13:26:50 Pilot control + Computer
29/03/2022 13:26:50 Pilot control + Computer
29/03/2022 13:26:50 Pilot control + Computer
