29/03/2022 12:28:32 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 12:28:32 ArduPlane V4.1.4 (0f984409)
29/03/2022 12:28:32 ChibiOS: 45395b6a
29/03/2022 12:28:32 CubeBlack 00360049 3337510E 37353832
29/03/2022 12:28:32 RCOut: PWM:1-12
29/03/2022 12:28:32 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 12:28:32 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 12:28:43 Pilot control + Computer
29/03/2022 12:28:44 Pilot control + Computer
29/03/2022 12:28:44 Pilot control + Computer
29/03/2022 12:28:44 Pilot control + Computer
29/03/2022 12:28:44 Pilot control + Computer
29/03/2022 12:28:45 Pilot control + Computer
29/03/2022 12:28:45 Pilot control + Computer
29/03/2022 12:28:45 Pilot control + Computer
29/03/2022 12:28:45 Pilot control + Computer
29/03/2022 12:28:46 Pilot control + Computer
29/03/2022 12:28:46 Pilot control + Computer
29/03/2022 12:28:46 Pilot control + Computer
29/03/2022 12:28:47 Pilot control + Computer
29/03/2022 12:28:47 Pilot control + Computer
29/03/2022 12:28:47 Pilot control + Computer
29/03/2022 12:28:47 Pilot control + Computer
29/03/2022 12:28:47 Pilot control + Computer
29/03/2022 12:28:48 Pilot control + Computer
29/03/2022 12:28:48 Pilot control + Computer
29/03/2022 12:28:48 Pilot control + Computer
29/03/2022 12:28:48 Pilot control + Computer
29/03/2022 12:28:48 Pilot control + Computer
29/03/2022 12:28:48 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:49 Pilot control + Computer
29/03/2022 12:28:50 Pilot control + Computer
29/03/2022 12:28:50 Pilot control + Computer
29/03/2022 12:28:50 Pilot control + Computer
29/03/2022 12:28:50 Pilot control + Computer
29/03/2022 12:28:51 Pilot control + Computer
29/03/2022 12:28:51 Pilot control + Computer
29/03/2022 12:28:51 Pilot control + Computer
29/03/2022 12:28:52 Pilot control + Computer
29/03/2022 12:28:52 Pilot control + Computer
29/03/2022 12:28:52 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:53 Pilot control + Computer
29/03/2022 12:28:54 Pilot control + Computer
29/03/2022 12:28:54 Pilot control + Computer
29/03/2022 12:28:54 Pilot control + Computer
29/03/2022 12:28:54 Pilot control + Computer
29/03/2022 12:28:54 Pilot control + Computer
29/03/2022 12:28:54 Pilot control + Computer
29/03/2022 12:28:54 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:55 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:56 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:57 Pilot control + Computer
29/03/2022 12:28:58 Pilot control + Computer
29/03/2022 12:28:58 Pilot control + Computer
29/03/2022 12:28:58 Pilot control + Computer
29/03/2022 12:28:58 Pilot control + Computer
29/03/2022 12:28:58 Pilot control + Computer
29/03/2022 12:28:58 Pilot control + Computer
